text,polarity
هههههه سررررراج بجد فصلنى ضحك يخربيتك #MinaAttaOnDreamTwo ,Positive
اللهم في هذه الليلة المباركه يسر لنا أمورنا واحفظ بلادنا واجعل من عبادك الصالحين الشاكرين ,Positive
https://t.co/vou0nYCgDS أصعب احساس في الدنيا.... ,Negative
@Eslameid14 اوساخ والله انا كنت جاي ,Negative
و نشكر ربنا على الحاجات الصغيرة الي بعتهالنا في وقتها &lt;3 ,Positive
يا كمياا اتلمى بقاا  :\D ,Negative
حسبى الله ونعم الوكيل فى البلد الوسخة دى وفى اللى ماسكينها وعمرها ما هتنضف ابدا  اطهر ما فيكى بيموت ,Negative
#الوطن   #جنوب_سيناء تشارك في مبادرة \ارسم مستقبلك \  http://t.co/km4qPHQll4 ,Positive
السنة مبلشة ثقيلة #streetphotography #blackandwhite @ البدوي   أشرفية http://t.co/aZi8XGSgNI ,Negative
العيون تحكي ما لا يُقال ,Neutre
دة انت الحلم اللى نفسي يكمل و يبقى حقيقة ? ,Positive
عام #2014  ... شكرا ... روح لامك ! سنه كانت مفكرا نفسها GTA ! ,Negative
@Mrim_AZ  البت لونها حلو اوووى ,Positive
السنين بتفوت وانا واقف مكانى ,Negative
#نصيحة  لا تطفئ النار ...........بالنار ,Neutre
الهدف من الترند اننا نعرف الناس اللي متعرفش مينا هو مين وننشر حساباتو يلا نعمل كدة مش نعمل تويت كلام بس بليز #MinaAttaOnDreamTwo  مينا عطا ,Neutre
لولا الأمل في الغد لما عاش المظلوم حتى اليوم. ,Positive
#نطالب_تمريات_برعاية_هيثم_العبدالله  @Tmreyat نأمل من سيادتكم رعايه المتسابق هيثم العبدالله مبدع وحافظ لكتاب الله جزيتم خيرا    : : : : : ,Neutre
ان اللبيب من الإشارة يفهم http://t.co/ettXB5YyHh ,Neutre
من أين لك كل هذا البرود. ,Negative
الثقة بالله أزكى أمل، والتوكل عليه أوفى عمل ,Positive
وطني ستظل أنت عشقي الأول   #مصر  اللهم اجعل اجازتي سالمة في مصر ,Positive
شفت السما فوقك  تخيل مداها بنجومها بأجرامها  باللي فيها  واللي خلقها من عدم  واحتواها اني  احبك  حب غطى  عليها ,Positive
@_YRZ1 الديانة الطاهرة النقية عند الله الآب هي هذه افتقاد اليتامى والارامل في ضيقتهم وحفظ الانسان نفسه بلا دنس من العالم ,Neutre
اللهم ابطل اثرعين حاسدة اصابت قلبافاحزنته واصابت زوجين ففرقتهماواصابت ولدا فافسدته واصابت جسدا امرضته واصابت جمالا فشوهته انك علي كل شئ قدير ,Positive
ميدو: لن أدرب الزمالك هذا الموسم تحت أي ظرف: http://t.co/TNdmhdpvRU via @midoahm #Zamalek  #باتشيكو_هرب  #باتشيكو  #زمالك #الزمالك ,Neutre
- ملعونها سذاجه ,Negative
#اسامه_فقيه الف مبروووك لجمهورالعرررين وفريق دعم العرين  باقي لنا جلمود صخر والدعم باذن الله نجيبها @YasserFaageeh @faqeeh2011\ ,Positive
محدش حاسس بحد .. كله بيقول يلا نفسى. ,Negative
@Yousef_Hedia مفيش ارجل منك يا اخويا ربنا يخلينا لبعض و يخلينا دايما مع بعض على المره قبل الحلوه ,Positive
عرفت اللي فيها عنيه بآن عاليها إنو يا قلبي ما حبنيش .. حجات عشنا فيها وعشمنا بيها وأخرتها ايه طلعت مفيش . ,Negative
@Moda_wahab . فهو يبحث عن الحب بالفطرة ما الامتنان .. لسه بقول ليك الامتنان هو الوعي المرتبط بالمادة والقواعد عل? حد قولك ,Neutre
يسرقون رغيفك ثم يعطوك منه كسرة .. يا لوقاحتهم .. ويا لهطل أمك http://t.co/QHBWWi5K9q ,Negative
https://t.co/mOh9uTWAQX دة فيديو ياسمين كانت بتعملو لمعايدتكو اسمعوة يلا  #HBDDoaaElSebaii ,Positive
@sarahesham3 يا ديني دي كانت ايام سوووووووووووووووووده :D:D ,Negative
@haneenaldabet1 رحمه الله عليهم ويدخلهم فسيح جناته يا ارحم الرحمين ,Positive
مادة ما بتنفهم ولا بندرس لليش هيّه !!! ,Negative
https://t.co/mOh9uTWAQX واااااااااااااو تحفة فيديو فانزك بيعيدك يا دعاء #HBDDoaaElSebaii ,Positive
@dieaakh كل سنة و انت سالم ظوظو بيك و ينعاد عليك بصحة ,Positive
الحمدلله انا بطلت اسب الدين ,Positive
@medomounib @salmabmw22 مستنين نسمع رنا ومبسوطين انها بتشتغل مع منتج محترم زى حضرتك وان شاء الله السونج والكليب يكسر الدنيا ,Positive
ولكن الآن في المسيح يسوع انتم الذين كنتم قبلا بعيدين صرتم قريبين بدم المسيح. http://t.co/AjBX27Qpia ,Neutre
بقالي فترة كبيرة مش بتويت والله يا جدعان استحملوني شوية ,Neutre
@Khairy_Ramadan  وحضرتك طيب وبألف خير استاذ خيرى امتعتنا بحلقة اسعاد يونس كانت اكثر من رائعه ,Positive
اكره فريد الأطرش ، لإن \الحياة حلوة ، بس نفهمها\ ,Negative
@RevanNos7y  منا خدت بالي بس هي حلوة  فعلا بس انا مش ميال  ليها  انا اصلا بحب المانفسيتو اوي و اقوي من ويسترن يونيون بس انا بحب ويسترن اكتر ,Positive
#قل_كلمة_حلوة_في_العام_الجديد يارب ارحمني واغفرلي كثرة ذنوبي ,Positive
و اللي بحكيلي \الحياة حلوة\ سأقتله ، لأريه ان الموت احلى ,Negative
قال أبو الحسن المزين : الذنب بعد الذنب عقوبة الذنب ، والحسنة بعد الحسنة ثواب الحسنة .” ,Neutre
@M0sTaa و فيلم المغسلة .. اشهر فيلم في مصر .. احاااااااااااااا :D:D:D:D ,Negative
@tweety402f اخبار الناس عسا اموركم تمام  ما اقصد اكلمك حشا بس كل ما في الامر حبيت اتطمن عليك في امان الله ,Positive
احنا جيل المبضونين يا جماعه والله ,Negative
@Nh_nh89 @MYildirimResmi حفلة افتتاح الفلم القرمى ما حد راح خالص ,Neutre
اجمل ما فينا ان محمد نبينا (ص) ? ,Positive
@amanyfaraj_ @modyalfaitory عليش نسأل فيكن معناها ي بصله ,Negative
لتعم الفائدة للناس وللاطلاع على انواع السحروعلاماتها وكيفية علاجهاوكيفية التحصين من الاصابات بالحسد والسحر وكافة انواع التسليط00905345609147 ,Neutre
#لقاء_القرني_مع_دعاء #DoaaElSebaii  شايفها نفسها فين بعد سنه و بالنسبه للنجوم مصر غناء وتمثيل تحب تتعامل مع مين ؟ هل ممكن تغنى لمصر فبديتها ,Neutre
#RanaSamahaTeam  ياريت كلنا نهتم نرتوت للمنتج ميدو عن أى تويت تخص رنا بليزززززززززز ,Neutre
رب واحد ايمان واحد معمودية واحدة http://t.co/fDZNoDrFqf ,Neutre
اسكندرية و البحر و الدفي و كفا ..! ,Positive
المشغول بك سيصنع وقتاً من أجلك? والمشغول عنك سيستغل أي حدث لينصرف عنك !\ ,Neutre
حَدثت الله عنك كثيراُ ،، ,Positive
? ليله شتاء بجانبك :)   هذا ما أحلم بيه الان :) ?  #D ? ,Positive
اختبار طبي لعبد الفضيل غداً لتحديد موقفه من المشاركة امام الجونة السبت المقبل . ,Neutre
انا لو مكان الدنيا أتقرف فشخ أحط على أحمد شيبه ,Negative
@Miiilav @NF62 القرأنيه واضحه وخاصه في قوله وهو على جمعهم اذا شاء قدير اي وجود حياه اخرى ,Neutre
الي عايش بوجهين ديرله بلوك مرتين ,Negative
الإهتمام حلو والله حتى لو بسيط أوى .. ,Positive
@nirmeen_3li اووووووووف بقا .. وانتى حلوة فشخ ,Positive
اهم حاجة تكون الانسان اللى بتحبه محافظ عليه ,Positive
#اتفرج  بالفيديو.. #مصطفى_كامل يهين تسلم الأيادي في رأس السنة  شاهد الفيديو عبر الرابط.. http://t.co/nvktcfRyg0 http://t.co/lPDPoTHEJ8 ,Neutre
@sl_889 @ToOoTaZ يا حبيبتى يا توتا طيب عاوزه حاجه بقى انا عندى مشوار هههه  شيرين يحيى  #ShereenYehia ,Neutre
#تأمل هذا المشهد بسم الله الرحمن الرحيم  وأشرقت الأرض بنور ربها ووضع الكتاب وجيء بالنبيين والشهداء وقضي بينهم بالحق وهم لا يظلمون الزمر:69 ,Neutre
#اتفرج  بالصور.. اللبنانية #يارا تظهر بفستان \غريب\ في حفل #الكريسماس  شاهد الصور عبر الرابط.. http://t.co/UQJiWlpJLB http://t.co/vOasTVG4j8 ,Neutre
اللهُم اني بحاجة لِحياه تخلو من غضبك ملِيئه برضاك ورحمتك ربي إن كان هُناك ذنب يحول بيني وبين رضاك فاغفره لي يا ارحم الراحمِين. ,Positive
كان نفسي اول حاجه اشوفها في 2015 هي انت :-) ,Positive
@_MaiiAhmed بتبقي بنت كلب ? ,Negative
@sokkarnabat90 لالالا مين قالك كده ؟ دا احلى صباح :) ,Positive
\عاوزين نعيش فى أمان\  جمله قالها جبان و أستخدمها ألجبناء !! ,Negative
الجو بررررد يا جماعة مين سقعان http://t.co/1cKX4WoQKy ,Neutre
عنية و بصتوا ليها ، تكفى ? http://t.co/fKKB2Z0a5Z ,Positive
على اخر الزمن مراقب عرص بيقولى مجبتش معاك مسطرة ليه !! انا بطلت اشيل شنط من 2 اعدادى !! ,Negative
تلج السنين ,Neutre
و قلت أنا عاشق، ساقوني كتير المر. ,Negative
#عن حد مهم فى حياتك مش عارفه احنا اصحاب ولا حبايب ولا بنلعب باليه مائي . بس هو حد مهم ???  #مقصوووودة_بقي ,Positive
? تنسون صلاة الفجر ..  تصبحون على خير :) جمعة مباركة ? ,Positive
@retag_tuba @ExtraTurki ريتاج وحشتنى يا قمر انا زنيب يلدريم علشان عيونك حلوة حياتى ذاد حلاوة فيهم ,Positive
إضحك، الدنيا فانية. ,Positive
البياض لايعني الجمال ، و السواد لا يعني القباحة ، فالكفن أبيض ومخيف ! والكعبة سوداء وجميلة ! والإنسان بأخلاقه ليس بمظهره ? ,Neutre
«رب اغفر لي خطيئتي يوم الدين» [رواه مسلم]. ,Positive
انقذت هرة عائلة في النمسا احترق منزلها فجرا اذ ايقظتهم من النوم ما اتاح لهم الفرار من ألسنة النيران، بحسب ما اعلنت الشرطة الاربعاء ,Neutre
Twitter هما 5 accounts و الباقي في الزبالة. ,Negative
أحقر أسلوب هو تلقيح الكلام ده &gt;_&lt; وبيثبت إن صاحبه شخصية ضعيفة وجبانة ميقدرش يقول اللي جواه direct لازم يحور ويلقح :/ ,Negative
لتورايد الموارد البشريه لدولة الخليج من الجسنين ذو تعليم عالى شركة الزاويدى لسياحه ,Neutre
@Anwer204Com بكل خير اتمناه لكم مع أحلى صباح الورد http://t.co/MC5f2T6So6 ,Positive
صباح الورد الجوري http://t.co/PIhnLgpabL ,Positive
سَيأخُذ ?لجَميعُ نَصِيبهُ م هَذه الدّنٌيا : سَعآدَة أوْ حُزنٌ لَنْ يَـفُوتك شَيء كتَبَهُ الله لك أو عَليْك فَارضى بآلقَدَر .وقُل الحَمد ُلله ,Neutre
روح يا شيخ ربنا يخرب بيت امك  هوه الاخوان على دين جديد غير الاسلام ملعون ابوهم http://t.co/n8Dw6d7lUQ ,Negative
الحمد لله الذي احيانا بعدما اماتنا و اليه النشور ... اصبحنا و اصبح الملك لله ,Positive
@crespozamalek07 كل سنة وانت طيب يا حنين :) ,Positive
@H4h9 زاد الله من امثالك ,Positive
نمرة - \مع السلامة\ من ألبوم #اسمعني | Hamza Namira _ Ma\assalama من خلال Awakening Records #np on # على SoundCloud https://t.co/gP8MnhYI5N ,Neutre
معقولة خلاص ؟ عشنلنا يومين و السلام ! ,Negative
اللهم اجعلنا نتقبل الخوازيق من اعدائنا و انصرنا على بعضنا ,Negative
كليب أدب الكلام - فارس القبي (إيقاع) #كناري. http://t.co/nFEVrQnkBB ,Neutre
البنت دى و أمثالها لازم يغنوا و يملوا الكون بغناهم نغسي نعلى بقى و مصر ترجع زى زمان كلها فن و رقى.. ,Positive
@hayoonia1 @zahraa1991zoz نفسى يبطلوا بقى انا تعبت من النكد ,Negative
اه يا صوابعى ,Negative
اللهم صلِّ على سيدنا مُحمّد نبي الهدى والرحمة، لا يقطع من وصله، ولا يرد أحدًا سأله، والرحمة تسكن قلبه ... اللهم إرزقنا شفاعتة يا رب ,Positive
هتفضل مشاكلي بيني و بين نفسي لحد ما اموت و هيفضل زعلي ليه لوحدي بردوا عشان محدش ناقص بس الواحد خايف قوة احتماله تخلص ,Negative
#تفاصيل  افضل شاعر ايمن بهجت قمر  افضل فنان رنا سماحة  افضل عمل غنائى غلطت من الأول  نجم تفاصيل رنا سماحة http://t.co/BAFtoWzvqQ ,Neutre
\الَّذِينَ آمَنُوا وَتَطْمَئِنُّ قُلُوبُهُمْ بِذِكْرِ اللًّهِ الا بِذِكْرِ اللَّهِ تَطْمَئِنُّ الْقُلُوبُ\ http://t.co/KBwRLg8vQZ ,Neutre
بسم الله الذى لا يضرُ مع اسمهِ شئٌ في الارضِ ولا في السماء وهو السميع العليم ,Neutre
@NourDouma نانسي عجرم.. معظم بطاقات حفلها الكبير بمهرجان دبي للتسوق نفذت وعشاقها بإنتظارها على نار!  http://t.co/6Vi3S4iF0D ,Neutre
الحب لما يتحاول لحب فطره زى متكون بتحب اهلك و مهما عملوا بتسامح عشان الناس دى من لحمك و دمك مفيش بعده حب يقارن او يتزايد عليه :) ,Neutre
@xfJgMiPVKnf8y0p الله يسعد ك تعالي خاص ,Positive
@hodaelmasry25 ربنا يقدرني ع رسم الفرحه ف وشوش الناس :D ,Positive
يا حلو صبح نهارنا فل ,Positive
@ArabsGotTalent روعة ,Positive
#LaithAbuJoda صور لليث لما كان في مصر ..  ليث أبو جودة http://t.co/awALwZCYYO ,Neutre
@libyanwoman1 كل التحيه والتقدير لمن يصنعون الحياة ,Positive
التلوين اكتر حاجه الاطفال بيحبوها #عيش_حلمك_عيش_سنك #الكرامه_الزقازيق http://t.co/C2Yy4DyHtG ,Positive
@al_arsenal ميلانو وليس ميلان ^^ ,Neutre
انا عايز احكى قصة بس محتاج حد يكتبها معايا ... حد راشق ؟ ,Neutre
وَلَوْ كُنْتَ فَظًّا غَلِيظَ الْقَلْبِ لانْفَضُّوا مِنْ حَوْلِكَ ,Neutre
الواحد بقي مبضون من الناس اللي حوله من كل حاجة ,Negative
النهارده ذكرى سقوط الاندلس ماتت قلوب الناس ماتت فينا النخوه بلاش ننسى فى يوم ان العرب ولاد وسخااااا ,Negative
??‌???? ???ُ?????? ???ّ #?????? ، ?‌ ?ُ??َ? ????ً :” ????ُ? ???? #????ً ????ّ?ً (“: ????? ??? ??ٌ #???? .. #????ٌ .. #?ُ??? .. ,Neutre
اوقات بيعدي في يومك لحظات تبه نفسك تعملها pause وتعدها كل شويه ,Neutre
مهما تباعدنا ترى (الود) موجود ماينزعه من خافقي اي طاري في عيني اليمنى لك الشوق ممدود وفي عيني اليسرى وجود اجتباري ,Positive
ابن النادي  خبرة .. شخصية ..محبوب.. قادر علي التعامل مع النجوم .. قادر علي صنع الاستقرار مع اسماعيل يوسف لية ميجيش  حسن شحاتة #باصي_لعفيفي ,Positive
\@hakaamey: اللهم إنّا نسألك موجبات رحمتك ، وعزائم مغفرتك والسلامة من كل إثم ، والغنيمة من كل بر ، والفوز بالجنة والنجاة من النار ,Neutre
@otnastyle  نرتضى منصور انسان غير مسئول بالمره مش هتلاقى نادى فى العالم رئيسه يطلع يتكلم كل شوية عن الفرقع بتاعته  مهما حصل ,Negative
@S_Elhussieny بابا بلغيه سلامي وتحياتي دي صوره تمكين للشباب ودلعهم اخر حاجه ..ربنا يخليكم للبعض سمر :)) ,Positive
@mohammed_attya آمييييييين يا رب وعليك كمان وتتوفق دايما :)))))) متشكرة قووووووي ,Positive
واول ما الايام تغدر بيك كل الناس تسيبك ,Negative
انا باقيت الشخص اللي من سنة كنت بخاف اتعامل معاه. ,Negative
فلسطين ادينالهم مساعدات ضربونا المغرب اهانهم و اعتذرنا ..المغرب اهانتنا ومحدش سامع..انها السياسه الجديده خليك كبير و سامح الصغير..غلطة ,Negative
فخامة الليدرز واااو ? http://t.co/ZoUJq4bRSs ,Positive
*...أريدك ملهمي ومُلتهمي.... رجُلاً حيناً...وحيناً قلمي...\ #عليك_اللهفة #أحلام_مستغانمي ,Neutre
هل تعلم ان كلمة نفسي اشوفك .. لها تأثير سحري لا يقاوم ! XD ,Positive
وخلتيني اقول خلاص مفيش امل ,Negative
اللهم آمين ..  وأسعد الله مسائكم بكل خير ... @ Cairo http://t.co/L2kGwd6HjA ,Positive
الإشتياقُ صهيل أحصنة برية لا يفرق بين القاتل و القتيل  وداد نبي /ظهيرة حب ظهيرة حرب ,Neutre
@VodafoneEgypt عملت كده من أسبوعين والإعلانات رجعت تاني ... واضح إنكم بتتعاملوا معانا كإن مفيش غيركم مع إن خدماتكم بقت رديئة ,Negative
البنات كائنات خطيرة فشخ يا جماعة، ممكن تحطك في خانة الفريندزون وخانة البرازر زون، وخانة الكوبري زون عشان توصل لحاجة تانية ودي خانة وسخة فشخ. ,Negative
??? ??? ?ُ??? ?? ??? 2015 ، ????ُ? ?????? ??? ???? ???? ، ????? ????، ????? ??? .. جمعة مباركة على جميع يا رب .. ,Positive
كان لملوم .. وبقي معفن .. جالنا نضف .. ومثِل منتخب بلده .. بس اتاريه بيحب الوساخه :) ,Negative
@ShereenYehia10 وحشتينااااااااااااااااااااااااااااا يا شيروووو وما شاء الله كنتي منورة امبارح سلطاااااااااااااااااااااانة #ShereenYehia ,Positive
يارب متحوجنيش لحد غيرك . ,Positive
#المصري_اليوم | مفتي #السعودية: الاحتفال بالمولد النبوي بدعة.. و #داعش  و #القاعدة  فرق ضالة http://t.co/x5uTGk0j7A http://t.co/iOx1tOqlHD ,Neutre
@ToOoTaZ مساء الفل يا توتا وانتي طيبة حبيبتي #ShereenYehia شيرين يحيى ,Positive
الرجالة بقت مايعة، و البنات بقت مسترجلة. ,Negative
@yamoumayyaz انا مش بكرههم كراهية بمعني الكره لانه ما في بينا شي شخصي بس بكره كل وحدة بتعتمد على جسمها وبتقول انا مغنية وفهمك كفاية ,Negative
ولا كل غايب عن عِنيّا هقول بعيدوفي ناس ناسيهم قلبي وهما قُصادعنيّا، وناس مُجرد ما أفتكرها بكون سعيد ,Neutre
@zina_khadija امين يارب انا وانتى ياقلبى ويارب يسعدك انتى وكل لى بتحبيهم وكل سنة وانتى طيبة بكره مولد الرسول ,Positive
@tata20rafat @yasmeen77777771 @Rana_Samaha9 @reham76396702 @Tena_RS7 @YotaHamaki حبيبتى تسلمى امين يارب ,Positive
@RawanAbuAssaf @Reham_abuassaf  اخ اشي برفع الضغط  قال انا  قضيت ع ابوي ب السي دي اغاني وطنيه ,Negative
@MoudiKsa3 بالفيديو: نوال الزغبي أطلقت كليب أغنيتها الهيت “ولا بحبك”!  http://t.co/VffmtNWmry ,Neutre
صحى على تيليفونها ... مردش عليها ... كانت دموعه منعاه ... عشان اتأكد انهم بيخسروا بعض بس مفيش حاجة فى ايده يعملها ,Negative
تجي نفرح سوا ؟ ,Positive
إنك لن تبلغ من الدين شيئاً حتى توقر جميع الخلائق ولا تحتقر احداً .. فإن الله حين خلقه لم يحتقره ..  محى الدين بن عربى ,Neutre
@Almogaz \كرسى\ايهههههه بالضبط اللى لسه بتتكلم عنه؟هى من امتى كانت مصر\عزبة ابوكم\؟!وأعتذر للخروج عن شعورى.. http://t.co/HWBGag6vmC ,Negative
الحياة تكون جميلة عندما تكون هناك قلوب تخاف على غيرها . كما تخاف على نفسها . ,Positive
آذان العصر ,Neutre
@roosh_rosh @nermine_gouda والله كلهم وجوه لعمله واحده هو الفساد الدين والسياسه http://t.co/AWanxmGxMO ,Negative
والناس بقت غريبة أكتر من ما كان \ وائل جسار \ متخيل ...! :D ,Neutre
مفيش أحلى من الشخص اللي بيحس بزعلك حتى وانت بتضحك !! ,Positive
@_gha_deer @kosai1khauli مسا الفل و الياسمين حبيبي ,Positive
لامبالاه ,Negative
مارلين مونرو حلوة فشخ ! .. ليه كدا ! ,Positive
: أستغفر الله الذي لا إله إلا هو الحي القيوم وأتوب إليه ,Positive
#نفس_التاريخ | عام \1492\ سقوط الخلافة الإسلامية فى ايبيريا بسقوط \غرناطة\ واستسلام ملكها أبو عبد الله محمد الثاني عشر. ,Negative
ايه الجو ده ?? ,Positive
هي متعرفش ان انا ال بتربي ولا ايه  يعني هما يزعلوكو ويضايقوكوا وكلو يطلع على دماغى انا ,Negative
لا تكن السبب لوجع قلب انسان ,Neutre
مع الكاميرا لجديدة عشان اصورلكم التلجه ? http://t.co/Q9b3XG6dbp ,Positive
طيب انا بتكلم عن المغرب يرد عليا خرفان و نعاج ليييييه...هررررررررر ,Negative
#الخواتم المتصلة ... بأسلوب #نانسي_عجرم و #وفاء_الكيلاني و #كيم_كارداشيان http://t.co/Ga9usBXHxY http://t.co/m0XnBkGQZE ,Neutre
@3bdel7ameed_M انا لله وانا اليه راجعون ,Negative
@kosai1khauli  بالصور – حضور كبير لعشاق ماجد المهندس في حفل ليلة رأس السنة في دبي http://t.co/SgTjfEYgtt … http://t.co/JWv5yF8C31 ,Neutre
\: ربنا لَكَ الشُّكرُ عَلى ما أَنْعَمتَ بِهِ عَلَينا وَأَوْلَيت نَستَغفِرُكَ يا رَبَّنا مِن جمَيعِ الذُّنوبِ والخَطايا ونَتوبُ اليك\ ,Positive
كارول سماحة ترقص بين الجمهور ..حفلة راس السنة.. شغلة مميزة http://t.co/a2jwFo42jt ,Neutre
مدرب السعودية يتحدى نفسه قبل المنافسين في النهائيات الآسيوية #أخبار_رياضية #اولاريو #الاخضر  http://t.co/WfG7R2Hnky http://t.co/9A7JXogm4m ,Neutre
جيرارد يرحل عن ليفربول في نهاية الموسم #أخبار_رياضية #جيرارد #ليفربول  http://t.co/GR0VdIg4Nw http://t.co/rzu1FqGouE ,Neutre
تابعوا محبوب العرب #حازم_شريف على حساباته التالية : https://t.co/OM6fk7FBP0 https://t.co/geY6H19aNJ http://t.co/ycLc6NF8mJ  #محمد_عبده ,Neutre
ترامت علي سرير متهالك ،، كأركان قلبها المتهالك ،،و اخذت تذكر ابتسامة ثغره ففست سحابات الشوق و الألم!!  وتردد هامسه \کم اشتقتک أ?ها البع?د \ ,Negative
@ShahdNas93 ولما كان تحقيق ذلك عسيرا بالطرق الأخلاقيةذلك أن تطهير أسبانيامن الكفر طريقته الأخلاقيةهي القضاءعلى الإسلام برد المسلمين عن دينهم ,Negative
كل لحظة و كل عام و أنتم بخير ونعمة من الله . د.أحمدأبوالنور  http://t.co/l0GlB7gsKA http://t.co/uCE4MCChHp ,Positive
مش كل واحد جمب مني عزيز عليا ولا كل غايب عن عنايا هقول بعيد في ناس ناسيهم قلبي وهما قصاد عنيا وناس مجرد افتكرها بكون سعيد.. #AmrDiab ,Neutre
@Elham_khafagy لأ الجو حلو النهارده .. وخاصه ع السطوح :D فى شمس حلوه بجد ,Positive
ربي اشرحلي صدري ويسرلي امري واحلو العقده من لساني يفقهو قولي http://t.co/AFDyQi7xwK ,Positive
ممكن اتغير علي انسان بنسبة ???? لمجرد انه ابن وسخة بينسي الجميل والجدعنة اللي كانت بتتعمل معاه #موجه ,Negative
بطونهم كبطون البغال.. #آل_سعود_وانصارهم ,Negative
العالم كله بيلعب كوره و انجلترا فيها كوره تانيه  #جنون_البريميرليج http://t.co/NzqgqYoxTh ,Positive
@EstezGeorges بالصور والفيديو: سابين جمال أكثر من رائع وصوت أبهر الحضور ليلة رأس السنة في أبوظبي!  http://t.co/enUFTXk0Rv ,Neutre
ويوم ما تحميها من الناس هتبقي انت كل حياتها .. ,Positive
والسنين بتنسي اللي ميتنسيش ,Neutre
مساء النصر لكل الفلسطينين                                                مساء الهزيمة لكل الاسرائيلين ,Positive
ده في اجماع رهيب علي ان نظارتي حلوه ...  *_* ,Positive
حد يقول لبيصى يحط لسانه جوه بقه ويقعد ف البلد م يسافرش مش كفايه خاربها جوه هيخربها بره كمان سيبوا الجزاير ف حالها ,Negative
@Gachy05 مساء الورد يا جميل  من السودان  سلام ,Positive
@Relax_2017 @Sana_lraq1 كل شئ بمراد الله ,Neutre
داخل محل عادي بجيب طلبات فجأه صاحب المحل بيقلب في موبايله وبيقول باتشيكو هرب مرتين ويلعن ما امك يا مرتضي ..انا امنت بالله خلاص الناس كفرت ,Negative
مش عم نشوف الضوّ بهالعطلة ,Negative
بالظبط كدا.  طول م هى فرحانه. أنا فرحان. ,Positive
@bassantkhalid1 @masrawy1441 ولا انت تقبل علي نفسك انك تمشي جنب واحدة كل من هب ودب بيبص عليها و يشتم فيك ؟؟؟ ,Negative
مطعم محمد أحمد قفل اللى كان فى محطة الرمل لااااا http://t.co/vSDsRuJ8lh ,Negative
أنا حاسس كدة إن المنطقة العربية هتحصل فيها حرب ف 2015 بتخلفهم وبعدهم عن الوحدة العربية وإننا نبقى إيد واحدة زي مكنا زمان.. ربنا يستر ,Negative
@suahusni  شكرا صديقي ,Positive
#محمدشاهين_مع_يوسف_الحسيني كله معانا علي الهشتاج ده ياجماعه ,Neutre
قال علماء فلك إن عام 2015 سيشهد ظاهرة نادرة تحدث مرة كل 33 عاماً وهي حدوث ذكرى المولد النبوي الشريف مرتين خلال نفس العام ,Neutre
تخصصها تقتله بالرااحة ,Negative
#محمدشاهين_مع_يوسف_الحسيني النمر المصري  محمد شاهين ,Neutre
اللى بيحبك مش هيحب حياته من غيرك واضحة ! ,Positive
@alkaherawalnas  الفنان مينا عطا شاب موهوب و لة شعبية كبيرة جدا و نحن نتمني منكم استضافتة في برامجكم الفنية الناجحة دأما #MinaAttaKingdom ,Positive
احساس انك مش عارف تبعد ومش عارف تقرب دا احساس غبي. ,Negative
@QueenRania الحب والهدوء والبساطه والسعادة والرضا والقناعه امنياتنا في العام الجديد لك وللجميع ,Positive
كل عام والامه الاسلاميه بخير http://t.co/pkXra2mW7M ,Positive
دخلنا 2015 خلاص http://t.co/laNFhVEP6N ,Neutre
اللهم اشفه من كل سوء وكرب .... ,Positive
في الأوقات العصيبة أحسن الظن بالله وفي اللحظات الهادئة اذكر الله وفي الأوقات الأليمة ثق برحمة الله وفي جميع الأوقات استغفر الله #ذكر ,Positive
بفرح لما حد بحبه يفرح أكتر من فرحته هو شخصيا. ,Positive
@tooomi29 @eslam_red @BebaMuret الصراحه انا مش عارفه اتعاطف معاها هى دلعها و انانيتها اللى وصلوها لكده حتى شغله لازم يستنى عشان خاطرها ,Negative
@3bdulazizq8 امك كانت بايتة عندنا يا متناك ,Negative
@ommhamade @mbuyabis الله يسامحك انا ما غلطت ف اي حريم انا فقط اقوم بالرد علي قواد كويتي يا افندم ,Negative
افضل الرجال اذا حاورته وجدته عليما واذا خبرته وجدته حكيما واذا غضب كان حليما واذا ظفر كان كريما واذا وعد وفى وإذا شكي اليه وجد رحيما ,Neutre
@3thbbba  منك لله ياكحيلان .. أجل مانلومهم يلغون النصر . ,Negative
فـى حـبـك كـل يـوم فـى جـديـد ولـو تـوحـشـنـى وآنـت بـعـيـد  بـالأحـسـااس بـنـتـلاقـى مـفـيـش حـاجـة أسـمـهـا مـواعــيـد ,Positive
ميصحش يطلع بيان يقول تم ضبط مصنع متفجرات.وتم ضبط المتهمين يجهزون العبوات داخله.المفروض يكون .تم تفجير المصنع بمن فيه لا ضبطهم.كأنه مصنع جبنه ,Negative
الشيء المميز في خالد بن سعد انه مايهايط. انسان متواضع وواضح مع جماهير ناديه. سياسته واقعية. اعطوه الثقة وادعموه ولن تندموا. ,Positive
@smsm_turbo ربنا معاك ياسطي عايزك تدعيلي ,Positive
@KhadijaFahdi منطق غريب جداً بصراحة، ومش فاهمة لية مصرة في كلامك تقولي الإعلام المصري! حولتوا موقف فردي غير مقصود لحالة عامة! ,Negative
@_Nena__Zaki @A28Ezz @aboalialmsry @AliElshehawe @ameerakitty   كل سنه وحضرتك بصحه وستر وخير وسعاده  اختي نينا اخت الكل حبيبه الكل نينا زووق ,Positive
